idx,伴学,ID_NUM,ID,难度,中文,英文,作者,标签
261,大英百科,4997,htusc,四级,航空史｜大英百科,The Complete History of Aviation,大英百科,科普
262,大英百科,5003,bsqtwg,四级,恒星与星云｜大英百科,Stars and nebulae,大英百科,科普
263,大英百科,4856,snxxa,四级,洪水！｜大英百科,Flood!,大英百科,科普
265,大英百科,4833,dlmqa,高考,华特·迪士尼传｜大英百科,Walt Disney: Legendary Animator and Entertainment Entrepreneur,Joseph Kampff,人物
268,大英百科,5001,ehwan,四级,绘画｜大英百科,Painting,大英百科,科普
269,大英百科,4859,buapls,四级,火山！｜大英百科,Volcano!,大英百科,科普
270,大英百科,4834,ltenx,高考,火星｜大英百科,Mars,Simone Payment,科普
275,大英百科,4892,crzdz,四级,几何与三角学｜大英百科,Geometry and Trigonometry,大英百科,科普
276,大英百科,4928,alkxn,四级,计算机技术的演变｜大英百科,The Evolution of Computer Technology,大英百科,科普
279,大英百科,4857,gfhee,四级,飓风！｜大英百科,Hurricane!,大英百科,科普
280,大英百科,5026,latbz,四级,考古学：挖掘我们的过去｜大英百科,Archaeology: Excavating Our Past,大英百科,科普
281,大英百科,4976,qrqjg,四级,科学的历史与发展｜大英百科,Science: Its History and Development,大英百科,科普
282,大英百科,5070,xwzxa,四级,科学史｜大英百科,The History of Science,大英百科,科普
284,大英百科,5021,baxzhq,四级,克隆｜大英百科,Cloning,大英百科,科普
285,大英百科,4915,brkpge,四级,矿物、岩石和化石｜大英百科,"Investigating Minerals, Rocks, and Fossils",大英百科,科普
290,大英百科,4937,fbvjq,四级,篮球及最伟大的篮球运动员们｜大英百科,Basketball and Its Greatest Players,大英百科,科普
291,大英百科,5079,bvfstg,四级,老鼠、蝙蝠和异关节动物｜大英百科,"Rats, Bats, and Xenarthrans",大英百科,科普
292,大英百科,5087,blqfkz,四级,灵长类动物｜大英百科,Primates,大英百科,科普
300,大英百科,5231,bkvgbu,高考,梅西传｜大英百科,Lionel Messi: Soccer's Top Scorer,Karen Burshtein,人物
306,大英百科,4851,brzhuc,四级,美索不达米亚｜大英百科,Mesopotamia,大英百科,科普
311,大英百科,5047,bcqxrq,四级,密码术：破解密码｜大英百科,Cryptography: Cracking Codes,大英百科,科普
315,大英百科,4984,slerz,四级,内行星：水星、金星和火星｜大英百科,"The Inner Planets: Mercury, Venus, and Mars",大英百科,科普
316,大英百科,4978,mvdwu,四级,内行星｜大英百科,The inner planets,大英百科,科普
317,大英百科,4914,mavza,四级,能量｜大英百科,Energy,大英百科,科普
321,大英百科,5091,bqxirz,四级,葡萄牙和西班牙｜大英百科,Portugal and Spain,大英百科,科普
323,大英百科,4823,bvdvdp,高考,乔布斯传｜大英百科,Steve Jobs: Visionary of the Digital Revolution,Christine Honders,"人物, 商业"
324,大英百科,4879,bcoeii,四级,青春期｜大英百科,Puberty,大英百科,科普
325,大英百科,4885,itcex,四级,全球变暖｜大英百科,Global Warming,大英百科,科普
326,大英百科,4922,ovifg,四级,全球气候｜大英百科,Investigating the Global Climate,大英百科,科普
327,大英百科,4913,esivl,四级,热量｜大英百科,Heat,大英百科,科普
328,大英百科,5058,kzdsn,四级,人类进化｜大英百科,Human Evolution,大英百科,科普
331,大英百科,4855,bcctpa,四级,森林大火！｜大英百科,Forest Fire!,大英百科,科普
336,大英百科,4993,zwhgx,四级,摄影｜大英百科,Photography,大英百科,科普
337,大英百科,4873,edgbg,四级,谁发明了电脑？｜大英百科,Who Invented The Computer?,大英百科,科普
338,大英百科,4877,jkskp,四级,谁发明了汽车？｜大英百科,Who Invented The Automobile?,大英百科,科普
339,大英百科,4875,brinyu,四级,谁发明了元素周期表？｜大英百科,Who Invented the Periodic Table?,大英百科,科普
340,大英百科,4876,ujhse,四级,谁发现了DNA？｜大英百科,Who Discovered DNA?,大英百科,科普
341,大英百科,4878,xsoes,四级,谁发现了自然选择？｜大英百科,Who Discovered Natural Selection?,大英百科,科普
342,大英百科,4874,mwtnn,四级,谁分裂了原子？｜大英百科,Who Split The Atom?,大英百科,科普
343,大英百科,4881,dxani,四级,神圣罗马帝国｜大英百科,The Holy Roman Empire,大英百科,科普
346,大英百科,4912,bfyqx,四级,生物｜大英百科,A Closer Look at Living Things,大英百科,科普
348,大英百科,4919,bvihsn,四级,生物学、微生物学和细胞｜大英百科,"A Closer Look at Biology, Microbiology, and the Cell",大英百科,科普
349,大英百科,4979,bryaea,四级,生物学：了解生物｜大英百科,Biology: Understanding Living Matter,大英百科,科普
351,大英百科,4917,ieuwq,四级,声音｜大英百科,Sound,大英百科,科普
352,大英百科,4934,pscop,四级,圣女贞德｜大英百科,Joan of Arc : French Soldier and Saint,大英百科,科普
353,大英百科,4991,blpatp,四级,诗歌与戏剧｜大英百科,Poetry and Drama,大英百科,科普
354,大英百科,5077,ixoxn,四级,食草动物｜大英百科,Grazers,大英百科,科普
355,大英百科,4891,btqcus,四级,数学｜大英百科,Mathematics,大英百科,科普
357,大英百科,4894,yckkq,四级,算术｜大英百科,Arithmetic,大英百科,科普
358,大英百科,5061,hnzbp,四级,太空探索｜大英百科,Space Exploration,大英百科,科普
359,大英百科,4985,gebcn,四级,太阳、恒星和星系｜大英百科,"The Sun, Stars, and Galaxies",大英百科,科普
360,大英百科,4866,kvpcx,四级,太阳能｜大英百科,Solar power,大英百科,科普
362,大英百科,5039,bkumza,四级,探索的时代：从哥伦布到麦哲伦｜大英百科,The Age of Exploration: From Christopher Columbus to Ferdinand Magellan,大英百科,科普
363,大英百科,4871,buurfq,四级,探索古埃及｜大英百科,Discovering Ancient Egypt,大英百科,科普
364,大英百科,4869,hbotz,四级,探索古代中美洲文明｜大英百科,Discovering Ancient Mesoamerican Civilizations,大英百科,科普
365,大英百科,4872,qlphq,四级,探索古罗马｜大英百科,Discovering Ancient Rome,大英百科,科普
366,大英百科,4864,aqhdu,四级,探索古希腊｜大英百科,Discovering Ancient Greece,大英百科,科普
367,大英百科,5122,kttdu,四级,探索时代｜大英百科,The Age of Exploration,大英百科,科普
368,大英百科,5008,blnue,四级,天气及气候学界的先驱｜大英百科,Pioneers in the World of Weather and Climatology,大英百科,科普
369,大英百科,5006,xcuze,四级,天文学：了解宇宙｜大英百科,Astronomy: Understanding the Universe,大英百科,科普
370,大英百科,5010,lwqgs,四级,天文学和太空探索领域的先驱｜大英百科,Pioneers in Astronomy and Space Exploration,大英百科,科普
372,大英百科,4899,bqtdvg,四级,统计与概率｜大英百科,Statistics and Probability,大英百科,科普
373,大英百科,5002,mzimq,四级,外行星：木星、土星、天王星和海王星｜大英百科,"The Outer Planets: Jupiter, Saturn, Uranus, and Neptune",大英百科,科普
374,大英百科,5014,wsmrg,四级,外行星｜大英百科,The outer planets,大英百科,科普
376,大英百科,4828,cobru,四级,维京人传奇 | 大英百科,Vikings,Therese M. Shea,"文化, 科普"
377,大英百科,4940,vvkqa,四级,为什么雨林正遭破坏？｜大英百科,Why Are The Rain Forests Being Destroyed?,大英百科,科普
378,大英百科,5020,cvmzc,四级,文艺复兴后期的探索者与启蒙运动｜大英百科,Explorers of the Late Renaissance and the Enlightenment,大英百科,科普
379,大英百科,5059,bqqaku,四级,文艺复兴时期的画家｜大英百科,Painters of the Renaissance,大英百科,科普
380,大英百科,5067,bskyoq,四级,文艺复兴时期的探险家｜大英百科,Explorers of the Renaissance,大英百科,科普
381,大英百科,5055,bllvui,四级,文艺复兴时期的音乐家｜大英百科,Musicians of the Renaissance,大英百科,科普
382,大英百科,4941,jxxue,四级,我们的能量快用完了吗？｜大英百科,Are We Running Out of Energy?,大英百科,科普
383,大英百科,4939,bstipn,四级,我们的食物安全吗？｜大英百科,Is Our Food Safe?,大英百科,科普
384,大英百科,4901,hxmas,四级,污染地球｜大英百科,Poisoning Planet Earth,大英百科,科普
385,大英百科,4944,bpttl,四级,武术及最伟大的斗士们｜大英百科,Martial Arts and Their Greatest Fighters,大英百科,科普
386,大英百科,5029,herie,四级,物理科学｜大英百科,Physical Science,大英百科,科普
387,大英百科,5012,tjepn,四级,物理学：理解物质和能量的性质｜大英百科,Physics: Understanding the Properties of Matter and Energy,大英百科,科普
388,大英百科,4958,ywfuc,四级,物理学｜大英百科,The Science of Physics,大英百科,科普
389,大英百科,4952,rfgku,四级,物质｜大英百科,Matter,大英百科,科普
391,大英百科,5054,zbaqs,四级,西方的崛起：从史前到文艺复兴｜大英百科,The Ascent of the West: From Prehistory Through the Renaissance,大英百科,科普
392,大英百科,5090,lvxii,四级,西非历史｜大英百科,The History of Western Africa,大英百科,科普
393,大英百科,4977,enlsx,四级,细胞｜大英百科,The Cell,大英百科,科普
394,大英百科,4896,ayfoz,四级,细胞的功能｜大英百科,How Cells Function,大英百科,科普
398,大英百科,4924,czxps,四级,细菌、藻类和原生动物｜大英百科,"A Closer Look at Bacteria, Algae, and Protozoa",大英百科,科普
399,大英百科,4994,kmvvu,四级,细菌和病毒｜大英百科,Bacteria and Viruses,大英百科,科普
400,大英百科,5123,bbpnia,四级,现代技术｜大英百科,Technology of the Modern World,大英百科,科普
401,大英百科,4981,jbznc,四级,现代欧洲的兴起｜大英百科,The Emergence of Modern Europe,大英百科,科普
402,大英百科,5071,bcijee,四级,现代哲学｜大英百科,Modern Philosophy,大英百科,科普
404,大英百科,5017,gblwl,四级,小行星、流星、陨石和彗星｜大英百科,"Asteroids, meteors, meteorites, and comets",大英百科,科普
407,大英百科,5088,brakp,四级,新生代：哺乳动物时代｜大英百科,The Cenozoic Era: Age of Mammals,大英百科,科普
411,大英百科,4983,bcukbz,四级,行星、矮行星和太空物体的本质｜大英百科,"The Nature of Planets, Dwarf Planets, and Space Objects",大英百科,科普
414,大英百科,4830,yyyzx,六级,摇滚的诞生 | 大英百科,The Birth of Rock & Roll: Music in the 1950s Through the 1960s,Jeff Wallenfeldt,"文化, 科普"
415,大英百科,4930,kwatg,四级,伊丽莎白一世 | 大英百科,Elizabeth I : Queen of England,大英百科,科普
416,大英百科,4992,auxyg,四级,医学｜大英百科,Medical Science,大英百科,科普
417,大英百科,4929,zdxfu,四级,医学技术的演变｜大英百科,The Evolution of Medical Technology,大英百科,科普
418,大英百科,5004,vrxrl,四级,医学先驱：从古典世界到今天｜大英百科,Pioneers in Medicine: From the Classical World to Today,大英百科,科普
419,大英百科,5096,rlyol,四级,意大利｜大英百科,Italy,大英百科,科普
420,大英百科,4995,bbepna,四级,意大利与北方文艺复兴｜大英百科,The Italian and Northern Renaissance,大英百科,科普
421,大英百科,4972,vgugn,四级,音乐｜大英百科,Music,大英百科,科普
422,大英百科,4982,whbgi,四级,银河系及其他星系｜大英百科,The Milky Way and other galaxies,大英百科,科普
423,大英百科,5069,jektl,四级,英国文学：从19世纪至今｜大英百科,English Literature from the 19th Century Through Today,大英百科,科普
424,大英百科,5016,rzrlx,四级,英国文学：从古英语到文艺复兴｜大英百科,English Literature from the Old English Period Through the Renaissance,大英百科,科普
425,大英百科,5048,svbtq,四级,游戏：从Atari到Xbox｜大英百科,Gaming: From Atari to Xbox,大英百科,科普
430,大英百科,4822,wlape,高考,拯救蓝鲸｜大英百科,Saving the Endangered Blue Whale,Simone Payment,科普
431,大英百科,4910,xdmpx,四级,植物繁殖、生长与生态学｜大英百科,"Plant Reproduction, Growth, and Ecology",大英百科,科普
432,大英百科,4916,uljlc,四级,植物分类、构成和用途｜大英百科,"A Closer Look at Plant Classifications, Parts, and Uses",大英百科,科普
433,大英百科,5117,bboqpe,四级,中非和东非历史｜大英百科,The History of Central and Eastern Africa,大英百科,科普
434,大英百科,5115,buqlgn,四级,中生代：恐龙时代｜大英百科,The Mesozoic Era: Age of Dinosaurs,大英百科,科普
435,大英百科,5124,swhmp,四级,中世纪和近代早期的技术｜大英百科,Technology of the Medieval and Early Modern Worlds,大英百科,科普
436,大英百科,4961,dcpwz,四级,足球及最伟大的足球运动员们｜大英百科,Soccer and Its Greatest Player,大英百科,科普
437,迪士尼,5136,bslze,四级,心灵奇旅（迪士尼大电影双语阅读）,Soul,美国迪士尼公司,小说
438,迪士尼,5129,eyonn,四级,疯狂动物城（迪士尼大电影双语阅读）,Zootopia,美国迪士尼公司,小说
439,奇幻冒险​,5528,ryyvp,六级,魔戒第一部：魔戒同盟（下）,The Lord of the Rings: The Fellowship of the Ring (Book 2),J·R·R·托尔金,"小说, 经典"
440,奇幻冒险​,5529,gainc,六级,魔戒第二部：双塔殊途（上）,The Lord of the Rings: The Two Towers (Book 3),J·R·R·托尔金,"小说, 经典"
441,奇幻冒险​,5530,ngvgi,六级,魔戒第二部：双塔殊途（下）,The Lord of the Rings: The Two Towers (Book 4),J·R·R·托尔金,"小说, 经典"
442,奇幻冒险​,5531,bttwbz,六级,魔戒第三部：王者归来（上）,The Lord of the Rings: The Return of the King (Book 5),J·R·R·托尔金,"小说, 经典"
443,奇幻冒险​,5532,cujwu,六级,魔戒第三部：王者归来（下）,The Lord of the Rings: The Return of the King (Book 6),J·R·R·托尔金,"小说, 经典"
444,奇幻冒险​,5533,baxuea,六级,魔戒第一部：魔戒同盟（上）,The Lord of the Rings: The Fellowship of the Ring (Book 1),J·R·R·托尔金,"小说, 经典"
445,奇幻冒险​,5534,ymxsx,六级,霍比特人,The Hobbit,J·R·R·托尔金,"小说, 经典"
446,文学经典​,3265,zfstu,高考,813之谜（上）,813,莫里斯·卢布朗,"经典, 小说, 推理悬疑"
447,文学经典​,3268,tbtcs,高考,813之谜（下）,813,莫里斯·卢布朗,"经典, 小说, 推理悬疑"
448,文学经典​,3319,bcvgmz,高考,白牙,White Fang,杰克·伦敦,"经典, 小说"
449,成长启示录​,2794,nopyu,高考,来自沼泽乡的女孩,The Girl From the Marsh Croft,塞尔玛·拉格洛夫,"经典, 小说"
450,成长启示录​,886,wgigs,四级,假如给我三天光明,Three Days to See,海伦·凯勒,"经典, 人物"
